main_recipe_slug,accompaniment_recipe_slug,sort_order
palak-paneer,roti,1
palak-paneer,steamed-rice,2
dal-tadka,roti,1
dal-tadka,steamed-rice,2
tomato-rasam,steamed-rice,1
egg-bhurji,roti,1
matar-paneer,roti,1
matar-paneer,steamed-rice,2
paneer-butter-masala,roti,1
paneer-butter-masala,steamed-rice,2
kadai-paneer,roti,1
kadai-paneer,steamed-rice,2
paneer-bhurji,roti,1
chole,roti,1
chole,steamed-rice,2
rajma,steamed-rice,1
rajma,roti,2
dal-makhani,roti,1
dal-makhani,steamed-rice,2
lauki-chana-dal,roti,1
lauki-chana-dal,steamed-rice,2
kadhi-pakoda,steamed-rice,1
sambar,steamed-rice,1
aloo-gobi,roti,1
aloo-matar,roti,1
jeera-aloo,roti,1
bhindi-fry,roti,1
baingan-bharta,roti,1
mix-veg-sabzi,roti,1
mix-veg-sabzi,steamed-rice,2
beans-palya,steamed-rice,1
cabbage-poriyal,steamed-rice,1
avial,steamed-rice,1
veg-kurma,steamed-rice,1
veg-kurma,roti,2
gobi-manchurian,steamed-rice,1
chilli-paneer,steamed-rice,1
egg-curry,roti,1
egg-curry,steamed-rice,2
masala-omelette,roti,1
chicken-curry,roti,1
chicken-curry,steamed-rice,2
butter-chicken,roti,1
butter-chicken,jeera-rice,2
pepper-chicken,steamed-rice,1
pepper-chicken,roti,2
chicken-fry,roti,1
keema-matar,roti,1
keema-matar,steamed-rice,2
fish-curry,steamed-rice,1
fish-fry,steamed-rice,1
