No.,Website Name,Domain,Primary Focus
1,Dassana's Veg Recipes,vegrecipesofindia.com,100% Vegetarian Indian
2,Hebbar's Kitchen,hebbarskitchen.com,Short-form Veg Recipes
3,Archana's Kitchen,archanaskitchen.com,Everyday Indian Meals
4,Ministry of Curry,ministryofcurry.com,Instant Pot & Modern Indian
5,Swasthi's Recipes,indianhealthyrecipes.com,Healthy Authentic Indian
6,Manjula's Kitchen,manjulaskitchen.com,Jain & Vegetarian
7,Rak's Kitchen,rakskitchen.net,South Indian Vegetarian
8,Tarla Dalal,tarladalal.com,Traditional Gujarati & Indian
9,Sanjeev Kapoor,sanjeevkapoor.com,Chef-Driven Pan-Indian
10,NDTV Food,food.ndtv.com,Broad Indian Culinary
11,My Food Story,myfoodstory.com,Modern Indian & Global
12,Vegan Richa,veganricha.com,Vegan Indian
13,Cook with Manali,cookwithmanali.com,North Indian & Baking
14,Piping Pot Curry,pipingpotcurry.com,Instant Pot Indian
15,Bong Eats,bongeats.com,Authentic Bengali
16,Kannamma Cooks,kannammacooks.com,Tamil Nadu Regional
17,Spice Up The Curry,spiceupthecurry.com,Everyday Indian Veg
18,Padhuskitchen,padhuskitchen.com,South Indian Veg
19,Yummy Tummy Aarthi,yummytummyaarthi.com,Homestyle South Indian
20,Aayi's Recipes,aayisrecipes.com,Konkani & Coastal
21,Chitras Food Book,chitrasfoodbook.com,South Indian Meals
22,Jeyashri's Kitchen,jeyashriskitchen.com,Tamil Brahmin Recipes
23,Sailu's Kitchen,sailusfood.com,Andhra Cuisine
24,Vahrehvah,vahrehvah.com,Restaurant Style Indian
25,Hooked on Heat,hookedonheat.com,Quick & Modern Indian
26,Cooking 4 all Seasons,cooking4allseasons.com,Authentic South Indian
27,Sharmis Passions,sharmispassions.com,Tamil & Global Veg
28,My Heart Beets,myheartbeets.com,Paleo & Instant Pot Indian
29,Spice Chronicles,spicechronicles.com,Bengali & Global Indian
30,Cubes N Juliennes,cubesnjuliennes.com,Mughlai & Awadhi
31,Maunika Gowardhan,maunikagowardhan.co.uk,Classic Homestyle Indian
32,Two Sleevers,twosleevers.com,Keto & Instant Pot Indian
33,Whisk Affair,whiskaffair.com,Traditional North Indian
34,Food with Chetna,foodwithchetna.com,Indian Baking & Curries
35,The Chutney Life,thechutneylife.com,Indian Fusion
36,Tea for Turmeric,teaforturmeric.com,Pakistani & North Indian
37,Playful Cooking,playfulcooking.com,Bengali & Fusion
38,Saffron Trail,saffrontrail.com,Healthy Indian Veg
39,Edible Garden,cookingandme.com,Kerala & South Indian
40,Blend with Spices,blendwithspices.com,Traditional South Indian
41,Divine Taste,divinetaste.com,Sattvic Indian Veg
42,Kabita's Kitchen,kabitaskitchen.com,Simple Homestyle Indian
43,Nisha Madhulika,nishamadhulika.com,Hindi Veg Recipes
44,Madras Samayal,madrassamayal.com,Tamil Homestyle
45,RecipeTin Eats,recipetineats.com,Global (Strong Indian section)
46,Tasty Indian Recipes,tasty-indian-recipes.com,Punjabi & Pan-Indian
47,Indian Simmer,indiansimmer.com,Modern Indian Comfort
48,Subbu's Kitchen,subbuskitchen.com,Traditional Tamil Brahmin
49,Vidhya's Vegetarian Kitchen,vidhyashomecooking.com,South Indian & Instant Pot
50,Flavors of Mumbai,flavorsofmumbai.com,Goan & Maharashtrian
51,Zesty South Indian Kitchen,zestysouthindiankitchen.com,Kerala Cuisine
52,Simply Vegetarian 777,simplyvegetarian777.com,Quick Indian Veg
53,Bawi Bride,bawibride.com,Parsi Cuisine
54,Mallika Basu,mallikabasu.com,Contemporary Indian
55,Hari Ghotra,harighotra.co.uk,Authentic North Indian
56,Show Me The Curry,showmethecurry.com,Indian Recipe Videos
57,Awesome Cuisine,awesomecuisine.com,Diverse Indian Recipes
58,Masterchefmom,masterchefmom.blogspot.com,Homestyle Indian
59,Veggie Belly,veggiebelly.com,Indian Vegetarian
60,The Curry Mommy,thecurrymommy.com,Indian Fusion
61,Honey What's Cooking,honeywhatscooking.com,Healthy Indian Fusion
62,Chili to Choc,chilitochoc.com,Pakistani & North Indian
63,Fatima Cooks,fatimacooks.net,Traditional Pakistani/Indian
64,Savory Spin,savoryspin.com,Sri Lankan & South Asian
65,Easy Indian Cooking,easyindiancooking.com,Quick Indian Meals
66,The Gastronomic Bong,thegastronomicbong.com,Bengali & Global
67,Curry Trail,currytrail.in,Global & Indian
68,Bake with Shivesh,bakewithshivesh.com,Indian Baking
69,Tickling Palates,ticklingpalates.com,Everyday South Indian
70,Chef In You,chefinyou.com,Indian Vegetarian
71,Sinamon Tales,sinamontales.com,Goan & Indian Baking
72,Priya's Versatile Recipes,priyasversatilerecipes.com,Pan-Indian Veg
73,Kravings,kravingsfoodadventures.com,Guyanese & Indian Fusion
74,MadurasRecipe,madurasrecipe.com,South Indian Cuisine
75,Samira's Recipe Diary,samirasrecipediary.com,Everyday Indian Meals
76,A Brown Table,abrowntable.com,Modern Indian Baking & Meals
77,Cookilicious,cookilicious.com,Global Vegetarian Fusion
78,Bhavna's Kitchen,bhavnaskitchen.com,Indian Veg & Vegan
79,My Tasty Curry,mytastycurry.com,Healthy Punjabi
80,Fun Food Frolic,funfoodfrolic.com,Everyday Indian Cooking
81,Ruchiskitchen,ruchiskitchen.com,Indian Breads & Curries
82,Foodviva,foodviva.com,Simple Step-by-Step Indian
83,Spicing your life,spicingyourlife.com,Pan-Indian Recipes
84,The Terrace Kitchen,theterracekitchen.in,Indian Snacks & Meals
85,Indian Ambrosia,indianambrosia.com,North Indian Dals & Curries
86,I Knead to Eat,ikneadtoeat.com,Quick South Asian Comfort
87,Eaters Manifesto,eatersmanifesto.com,Healthy Indian Meals
88,Arisomenu,arisomenu.com,Tamil Vegetarian
89,The Schizo Chef,theschizochef.com,Global & Regional Indian
90,Recipe 52,recipe52.com,Bohri & Pakistani/Indian
91,Puliyogare Travels,puliyogaretravels.com,South Indian Temple Food
92,Foodie's Hope,foodieshope.com,Regional Indian
93,Just Indian Kitchen,justindiankitchen.com,Authentic South Indian
94,Everyday Veg Cooking,everydayvegcooking.com,Healthy Indian Veg
95,Srav's Culinary Concepts,sravsculinaryconcepts.com,Andhra & Global
96,Aromatic Crossroads,aromaticcrossroads.com,Modern Indian
97,Spice in the City,spiceinthecity.com,Indian Fusion Cooking
98,Peeping Pomeranian,peepingpomeranian.com,Paleo & Keto Indian
99,Homefoodi,homefoodi.com,Cloud Kitchen Recipes
100,Cooking Shooking,cookingshooking.com,Indian Street Food
